id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137440,"Trapiche, Medalla Cabernet Sauvignon", Trapiche, Argentina, Mendoza,Cabernet Sauvignon,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,53.21,2015.0,750.0
137441,"Trapiche, Oak Cask Cabernet Sauvignon", Trapiche, Argentina, Mendoza,Cabernet Sauvignon,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,26.6,2018.0,750.0
137442,"Trapiche, Oak Cask Chardonnay", Trapiche, Argentina, Mendoza,Chardonnay,White,Table,13~14,9~11,SWEET1,ACIDITY3,BODY3,TANNIN1,26.6,2018.0,750.0
137443,"Trapiche, Oak Cask Malbec", Trapiche, Argentina, Mendoza,Malbec,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,26.6,2018.0,750.0
137444,"Trapiche, Single Vineyard Malbec", Trapiche, Argentina, Mendoza,Malbec,Red,Table,14.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,76.01,2014.0,750.0
137446,"Trapiche, Malbec", Trapiche, Argentina, Mendoza,Malbec,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,19.76,2018.0,750.0
137451,Baron de Brane,"   Chateau Brane Cantenac - Grand Cru Classe,2nd Cru ", France, Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,60.81,2016.0,750.0
137452,Les Remparts de Ferriere,"  Chateau Ferriere, Grand Cru Classe,3rd Cru ", France, Bordeaux,Cabernet Sauvignon,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,34.21,2016.0,750.0
137454,Les Haut de Brillette,  Chateau Brillette, France, Bordeaux,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,45.61,2005.0,750.0
137469,Chateau de Montagne,   Andre Quancard Andre, France, Bordeaux,Cabernet Sauvignon,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,13.68,2008.0,750.0
137471,Chateau Bellegrave,  Chateau Bellegrave, France, Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,29.64,2005.0,750.0
137499,"B.R.Cohn, Special Selection Cabernet Sauvignon",..   B.R. Cohn Winery, U.S.A, California,Cabernet Sauvignon,Red,Table,13.8,17~20,SWEET1,ACIDITY3,BODY5,TANNIN4,836.14,1997.0,750.0
137501,"Balbi Soprani, Nebbiolo d'Alba", (  -  )  Capetta (Francesco Capetta - Balbi Soprani), Italy, Piemonte,Nebbiolo,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,28.88,2004.0,750.0
137504,"Balbi Soprani, Moscato d'Asti", (  -  )  Capetta (Francesco Capetta - Balbi Soprani), Italy, Piemonte,Moscato,White,"Table, Dessert",5~6,6~8,SWEET4,ACIDITY2,BODY2,TANNIN1,25.08,2018.0,750.0
137505,"Balbi Soprani, Barbaresco", (  -  )  Capetta (Francesco Capetta - Balbi Soprani), Italy, Piemonte,Nebbiolo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,75.25,2015.0,750.0
137506,"Balbi Soprani, Barolo", (  -  )  Capetta (Francesco Capetta - Balbi Soprani), Italy, Piemonte,Nebbiolo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,100.34,2014.0,750.0
137592,"Citra, Montepulciano d'Abruzzo", Citra, Italy, Abruzzo,Montepulciano,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,15.2,2008.0,750.0
137593,"Citra, Sangiovese", Citra, Italy, Abruzzo,Sangiovese,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,15.2,2017.0,750.0
137600,"Agustinos, Cabernet Sauvignon", Agustinos, Chile, Aconcagua,Cabernet Sauvignon,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,11.4,2010.0,750.0
137601,"Agustinos, Grand Reserve Cabernet Sauvignon", Agustinos, Chile, Aconcagua,Cabernet Sauvignon,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,34.21,2007.0,750.0
137602,"Agustinos, Reserva Cabernet Sauvignon", Agustinos, Chile, Aconcagua,Cabernet Sauvignon,Red,Table,13.2,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,15.96,2009.0,750.0
137603,Casa Porta Collection Reserve Cabernet Sauvignon,  Porta Winery, Chile, Aconcagua,Cabernet Sauvignon,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,19.0,2009.0,750.0
137605,Porta Cima,  Porta Winery, Chile, Aconcagua,Cabernet Sauvignon,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,91.22,2007.0,750.0
137606,"Agustinos, Grand Reserva Malbec", Agustinos, Chile,  Southern Region,Malbec,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,34.21,2015.0,750.0
137607,"Agustinos, Reserva Sauvignon Blanc", Agustinos, Chile,  Southern Region,Sauvignon blanc,White,Table,13.2,9~12,SWEET1,ACIDITY4,BODY2,TANNIN1,15.96,2016.0,750.0
137608,"Agustinos, Winemaker Selection Pinot Noir", Agustinos, Chile,  Southern Region,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,19.0,2015.0,750.0
137609,Casa Porta Limited Reserve Pinot Noir,  Porta Winery, Chile,  Southern Region,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,21.28,2015.0,750.0
137610,"Porta, Pinot Noir Grand Reserve",  Porta Winery, Chile,  Southern Region,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,47.13,2015.0,750.0
137611,Casa Porta Cabernet Sauvignon,  Porta Winery, Chile,  Central Valley,Cabernet Sauvignon,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,16.72,2009.0,750.0
137612,Casa Porta Grand Collection Cabernet Sauvignon,  Porta Winery, Chile,  Central Valley,Cabernet Sauvignon,Red,Table,14.2,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,30.41,2008.0,750.0
137613,Casa Porta Grand Collection Chardonnay,  Porta Winery, Chile,  Curico Valley,Chardonnay,White,Table,14.2,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,30.41,2014.0,750.0
137615,"Porta, Sauvignon Blanc Reserve",  Porta Winery, Chile,  Curico Valley,Sauvignon blanc,White,Table,13.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN1,21.28,2007.0,750.0
137617,"Agustinos, Carmenere", Agustinos, Chile,  Maipo Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY2,BODY2,TANNIN2,12.92,2009.0,750.0
137618,Casa Porta Collection Reserve Merlot,  Porta Winery, Chile,  Maipo Valley,Merlot,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY3,TANNIN3,19.0,2009.0,750.0
